timestamp_turkey,signal_candle_time_turkey,symbol,technical_signal,final_signal,block_reason,strength,price,entry,tp,sl,rsi_15m,macd_hist_15m,adx_15m,volume_ratio_15m,recent_move_percent,atr_percent,distance_from_ema20,ema50_15m,ema200_15m,ema50_1h,ema200_1h,rsi_1h,spread_percent,news_risk,news_summary,telegram_sent,duplicate_suppressed
,,GOLD(PAXG)USDT,LONG,NO TRADE,ریسک خبری بالا است.,Medium,4723.9,,,,56.1135,1.834232,,,,0.218033,0.158805,4711.851,4694.1088,4693.6691,4637.7632,56.0233,0.000423,HIGH,خبر مهم اقتصادی نزدیک است یا به‌تازگی منتشر شده؛ معامله ممنوع.,,
,,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,Medium,4717.28,,,,51.8706,1.411759,,,,0.232845,0.032058,4711.5914,4694.043,4693.4095,4637.6973,53.4464,0.000212,HIGH,خبر مهم اقتصادی نزدیک است یا به‌تازگی منتشر شده؛ معامله ممنوع.,no,no
,,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,Medium,4710.06,,,,47.7595,0.166199,,,,0.225298,0.099469,4711.3223,4694.9774,4693.1263,4637.6255,50.8933,0.004671,HIGH,خبر مهم اقتصادی نزدیک است یا به‌تازگی منتشر شده؛ معامله ممنوع.,no,no
,,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,Medium,4715.84,,,,51.1259,0.122349,,,,0.220676,0.012182,4711.6818,4695.895,4693.353,4637.683,52.9169,0.000212,HIGH,خبر مهم اقتصادی نزدیک است یا به‌تازگی منتشر شده؛ معامله ممنوع.,no,no
,,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,Medium,4709.04,,,,47.163,-0.311611,11.1216,0.3203,0.2985,0.232629,0.118451,4711.4155,4696.5387,4693.0862,4637.3102,50.5521,0.000212,LOW,خبر مهم نزدیک وجود ندارد.,no,no
,,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,Medium,4709.04,,,,47.163,-0.311611,11.1216,0.3203,0.2985,0.232629,0.118451,4711.4155,4696.5387,4693.0862,4637.3102,50.5521,0.002335,LOW,خبر مهم نزدیک وجود ندارد.,no,no
2026-05-08 18:20:53 TR,2026-05-08 18:00:00 TR,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,Strong,4701.43,,,,43.1108,-1.295649,10.989,0.5686,0.2184,0.234973,0.253793,4711.0236,4695.9531,4693.0862,4637.3102,50.5521,0.005956,LOW,خبر مهم نزدیک وجود ندارد.,no,no
2026-05-08 18:28:41 TR,2026-05-08 18:00:00 TR,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,No Setup,4701.43,,,,43.1108,-1.295649,10.989,0.5686,0.2184,0.234973,0.253793,4711.0236,4695.9531,4693.0862,4637.3102,50.5521,0.000213,LOW,خبر مهم نزدیک وجود ندارد.,no,no
2026-05-08 18:36:10 TR,2026-05-08 18:15:00 TR,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,No Setup,4705.08,,,,45.5282,-1.630656,11.0392,0.6596,0.2081,0.228526,0.159256,4710.7911,4697.1433,4693.0862,4637.3102,50.5521,0.000213,LOW,خبر مهم نزدیک وجود ندارد.,no,no
2026-05-08 19:57:49 TR,2026-05-08 19:30:00 TR,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,No Setup,4706.12,,,,47.4637,-1.156009,9.5431,0.2093,0.1127,0.199946,0.068731,4709.5831,4698.2843,4693.3896,4638.0997,47.7728,0.000213,LOW,خبر مهم نزدیک وجود ندارد.,no,no
2026-05-08 21:27:33 TR,2026-05-08 21:00:00 TR,GOLD(PAXG)USDT,LONG,LONG,-,Strong,4718.79,4716.23,4763.3923,4687.9326,56.896,0.97638,9.927,0.5714,0.1356,0.157598,0.172561,4710.0577,4700.1034,4694.5628,4637.4831,51.9147,0.000212,LOW,خبر مهم نزدیک وجود ندارد.,yes,no
2026-05-08 23:51:09 TR,2026-05-08 23:30:00 TR,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,No Setup,4710.25,,,,46.7601,-0.383988,10.9767,0.4948,0.1446,0.109957,0.060279,4711.6541,4702.729,4696.2256,4635.5716,53.6901,0.000212,LOW,خبر مهم نزدیک وجود ندارد.,no,no
2026-05-09 03:12:22 TR,2026-05-09 02:45:00 TR,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,No Setup,4706.73,,,,41.88,-0.328139,13.9606,0.0475,0.0068,0.050029,0.047966,4710.017,4706.5926,4697.9191,4640.1984,49.1888,0.000212,LOW,خبر مهم اقتصادی آمریکا برای طلا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-09 10:26:22 TR,2026-05-09 10:00:00 TR,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,No Setup,4705.44,,,,42.7434,-0.166652,11.5344,0.5078,0.0119,0.026559,0.030328,4708.0405,4705.2469,4700.187,4645.2024,47.8505,0.000213,LOW,خبر مهم اقتصادی آمریکا برای طلا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-09 16:41:59 TR,2026-05-09 16:15:00 TR,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,No Setup,4703.23,,,,38.1214,0.116013,15.1658,4.899,0.0599,0.017102,0.036179,4705.9796,4705.7337,4701.2066,4649.3291,48.954,0.00085,LOW,خبر مهم اقتصادی آمریکا برای طلا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-09 16:53:55 TR,2026-05-09 16:30:00 TR,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,No Setup,4704.05,,,,43.8293,0.064379,15.3973,0.5929,0.0387,0.017199,0.016956,4705.9039,4705.7344,4701.2066,4649.3291,48.954,0.000213,LOW,خبر مهم اقتصادی آمریکا برای طلا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-09 18:33:51 TR,2026-05-09 18:15:00 TR,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,No Setup,4703.33,,,,41.0585,-0.064749,12.9731,0.4256,0.0145,0.015193,0.023587,4705.4628,4706.5611,4701.4122,4648.925,46.6327,0.000213,LOW,خبر مهم اقتصادی آمریکا برای طلا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-09 21:38:43 TR,2026-05-09 21:15:00 TR,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,No Setup,4710.41,,,,74.2028,0.625334,21.7523,1.8765,0.0374,0.019292,0.087568,4705.939,4705.8681,4701.9787,4648.3996,53.559,0.000212,LOW,خبر مهم اقتصادی آمریکا برای طلا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-10 00:08:06 TR,2026-05-09 23:45:00 TR,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,No Setup,4713.4,,,,74.145,0.403327,34.9982,0.2566,0.0378,0.018937,0.074633,4707.8625,4709.7398,4703.1121,4649.3014,58.9514,0.000212,LOW,خبر مهم اقتصادی آمریکا برای طلا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-10 02:34:18 TR,2026-05-10 02:15:00 TR,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,No Setup,4712.16,,,,52.3506,-0.287104,37.5878,3.3377,0.0501,0.022807,0.007717,4709.9275,4710.1557,4704.0204,4650.2813,59.7184,0.000212,LOW,خبر مهم اقتصادی آمریکا برای طلا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-10 10:40:27 TR,2026-05-10 10:15:00 TR,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,No Setup,4713.91,,,,49.2994,-0.247529,11.7176,0.3799,0.0013,0.022972,0.008369,4712.9621,4708.3925,4706.6911,4656.103,56.1976,0.000212,LOW,خبر مهم اقتصادی آمریکا برای طلا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-10 14:15:40 TR,2026-05-10 14:00:00 TR,GOLD(PAXG)USDT,NO TRADE,NO TRADE,-,No Setup,4711.99,,,,47.8968,0.073833,12.9245,3.1767,0.0051,0.02595,0.005837,4712.3243,4708.3783,4707.3565,4659.2062,51.7913,0.000212,LOW,خبر مهم اقتصادی آمریکا برای طلا در بازه امروز/فردا پیدا نشد.,no,no
